Source,Dest,Weight
ALVEOLAR EPITHELIAL TYPE 1,NONCLASSICAL MONOCYTE    ,0.08247126638889313
IONOCYTE                 ,MESOTHELIAL              ,0.08235553652048111
SUBMUCOSAL GLAND         ,PLASMA CELLS             ,0.0821298137307167
SMG MUCOUS               ,AT1                      ,0.08210285007953644
PLASMA CELLS             ,DENDRITIC CELLS          ,0.0820617601275444
LIPOFIBROBLAST           ,MACROPHAGE               ,0.08185633271932602
PLASMA CELLS             ,OLR1+ CLASSICAL MONOCYTE ,0.08185377717018127
ALVEOLAR EPITHELIAL TYPE 1,NATURAL KILLER           ,0.08166768401861191
ALVEOLAR EPITHELIAL TYPE 1,DENDRITIC                ,0.08164077252149582
SEROUS                   ,LIPOFIBROBLAST           ,0.0814061090350151
DEUTEROSOMAL             ,LYMPHOID                 ,0.08129220455884933
SEROUS                   ,AT1                      ,0.08118527382612228
DEUTEROSOMAL             ,ALVEOLAR MΦ CCL3+        ,0.08118472248315811
SMG MUCOUS               ,POSITIVE                 ,0.08114339411258698
PLASMA CELLS             ,MESOTHELIUM              ,0.0810738354921341
ALVEOLAR EPITHELIAL TYPE 1,MULTICILIATED (NASAL)    ,0.08103781193494797
SEROUS                   ,DENDRITIC CELLS          ,0.08100726455450058
PROLIFERATING BASAL      ,SMG SEROUS (NASAL)       ,0.0809732973575592
ALVEOLAR EPITHELIAL TYPE 1,CLASSICAL MONOCYTE       ,0.08096267282962799
PLASMA CELLS             ,BASAL RESTING            ,0.08093666285276413
AIRWAY SMOOTH MUSCLE     ,IONOCYTE                 ,0.08082616329193115
SEROUS                   ,ALVEOLAR MΦ PROLIFERATING,0.08081574738025665
PROLIFERATING BASAL      ,SUBMUCOSAL GLAND         ,0.08078999072313309
SEROUS                   ,POSITIVE                 ,0.08073671907186508
ALVEOLAR MΦ PROLIFERATING,LIPOFIBROBLAST           ,0.0806775614619255
SMG MUCOUS               ,IGSF21+ DENDRITIC        ,0.08065811544656754
PLASMA CELLS             ,VASCULAR SMOOTH MUSCLE   ,0.08041387051343918
PLASMA CELLS             ,DENDRITIC                ,0.08027463406324387
AIRWAY SMOOTH MUSCLE     ,PLATELET/MEGAKARYOCYTE   ,0.08019741624593735
ALVEOLAR EPITHELIAL TYPE 1,MYOFIBROBLASTS           ,0.08010192960500717
PLASMA CELLS             ,SMG SEROUS               ,0.08009886741638184
AT2 PROLIFERATING        ,SEROUS                   ,0.07999053597450256
ALVEOLAR EPITHELIAL TYPE 1,LYMPHATIC EC             ,0.07985913753509521
PLASMA CELLS             ,DIFFERENTIATING BASAL    ,0.07983185350894928
GOBLET (BRONCHIAL)       ,SEROUS                   ,0.07980599254369736
AT2 PROLIFERATING        ,LIPOFIBROBLAST           ,0.07979897409677505
SMG MUCOUS               ,LIPOFIBROBLAST           ,0.0797865018248558
ALVEOLAR EPITHELIAL TYPE 1,SMG SEROUS (NASAL)       ,0.07969942688941956
ALVEOLAR MΦ PROLIFERATING,SEROUS                   ,0.07968408614397049
PROLIFERATING BASAL      ,SMG DUCT                 ,0.07967450469732285
ALVEOLAR EPITHELIAL TYPE 1,DC2                      ,0.0796285942196846
ALVEOLAR EPITHELIAL TYPE 1,MAST CELLS               ,0.07962135970592499
LIPOFIBROBLAST           ,NONCLASSICAL MONOCYTE    ,0.07957904040813446
DEUTEROSOMAL             ,MESOTHELIAL              ,0.07948307693004608
MESOTHELIAL              ,DEUTEROSOMAL             ,0.07940181344747543
ALVEOLAR EPITHELIAL TYPE 1,LYMPHATIC                ,0.07937075942754745
PLASMA CELLS             ,LYMPHATIC EC             ,0.07925447821617126
SMG MUCOUS               ,MACROPHAGES              ,0.0792212262749672
PLASMA CELLS             ,CLASSICAL MONOCYTES      ,0.07914701849222183
SEROUS                   ,MYELOID                  ,0.07913495600223541
PLASMA CELLS             ,ENDOTHELIAL              ,0.07911092042922974
SMG DUCT                 ,PROLIFERATING BASAL      ,0.07903993874788284
LIPOFIBROBLAST           ,SUPRABASAL               ,0.07898100465536118
LIPOFIBROBLAST           ,BASAL RESTING            ,0.0789293572306633
ALVEOLAR EPITHELIAL TYPE 1,EC VENOUS                ,0.07890622317790985
POSITIVE                 ,ALVEOLAR MΦ CCL3+        ,0.07889952510595322
SMG DUCT                 ,AT1                      ,0.07888747751712799
PROLIFERATING BASAL      ,ALVEOLAR MACROPHAGES     ,0.07884174585342407
PLASMA CELLS             ,BASAL                    ,0.07878309488296509
GOBLET (BRONCHIAL)       ,PLASMA CELLS             ,0.07868734747171402
DEUTEROSOMAL             ,EREG+ DENDRITIC          ,0.07845492660999298
AT1                      ,SEROUS                   ,0.07844827324151993
LIPOFIBROBLAST           ,SMG MUCOUS               ,0.07844295352697372
ALVEOLAR EPITHELIAL TYPE 1,CD8+ NAIVE T             ,0.07839805632829666
ALVEOLAR EPITHELIAL TYPE 1,PROXIMAL BASAL           ,0.0782947912812233
ALVEOLAR EPITHELIAL TYPE 1,STROMA                   ,0.07823968678712845
PROLIFERATING BASAL      ,DENDRITIC CELLS          ,0.07819747179746628
PLASMA CELLS             ,BLOOD VESSELS            ,0.07804325222969055
SMG MUCOUS               ,PROLIFERATING BASAL      ,0.07793984562158585
SEROUS                   ,IONOCYTE                 ,0.07786399871110916
PLASMA CELLS             ,GOBLET (BRONCHIAL)       ,0.07779988646507263
CAPILLARY                ,BASOPHIL/MAST 1          ,0.07772639393806458
SEROUS                   ,MACROPHAGES              ,0.07750968635082245
TREM2+ DENDRITIC         ,ALVEOLAR MΦ PROLIFERATING,0.07750357687473297
IONOCYTE                 ,SMG DUCT                 ,0.0774659812450409
MESOTHELIAL              ,BLOOD VESSELS            ,0.07745662331581116
ALVEOLAR EPITHELIAL TYPE 1,MYELOID DENDRITIC TYPE 2 ,0.07720554620027542
ALVEOLAR EPITHELIAL TYPE 1,ALVEOLAR FIBROBLASTS     ,0.07717524468898773
PROLIFERATING BASAL      ,AT1                      ,0.07715386897325516
CILIATED                 ,LYMPHOID                 ,0.0770944282412529
ALVEOLAR EPITHELIAL TYPE 1,PERICYTES                ,0.07709025591611862
ALVEOLAR EPITHELIAL TYPE 1,SUBPLEURAL FIBROBLASTS   ,0.07707934081554413
SMG MUCOUS               ,ALVEOLAR EPITHELIAL TYPE 1,0.07706421613693237
PLASMA CELLS             ,SMG DUCT                 ,0.07701126486063004
PROXIMAL CILIATED        ,ALVEOLAR EPITHELIAL TYPE 1,0.07684408128261566
SEROUS                   ,CLASSICAL MONOCYTE       ,0.07682440429925919
IGSF21+ DENDRITIC        ,MONOCYTES                ,0.07677235454320908
MESOTHELIAL              ,ALVEOLAR MΦ CCL3+        ,0.07670778781175613
ALVEOLAR EPITHELIAL TYPE 1,GOBLET                   ,0.07667014002799988
ALVEOLAR EPITHELIAL TYPE 1,INTERSTITIAL MACROPHAGES ,0.0765967145562172
ALVEOLAR EPITHELIAL TYPE 1,TUFT                     ,0.07648952305316925
PLASMA CELLS             ,MULTICILIATED (NASAL)    ,0.07628247886896133
PLASMA CELLS             ,NATURAL KILLER           ,0.07623323798179626
PROLIFERATING BASAL      ,SUBMUCOSAL SECRETORY     ,0.07611459493637085
SEROUS                   ,CAPILLARY INTERMEDIATE 2 ,0.07605648785829544
SMG DUCT                 ,LIPOFIBROBLAST           ,0.07599840313196182
PROLIFERATING BASAL      ,MYELOID                  ,0.07599237561225891
PLASMA CELLS             ,PERICYTE                 ,0.07584420591592789
TREM2+ DENDRITIC         ,BLOOD VESSELS            ,0.07582249492406845
CILIATED                 ,IGSF21+ DENDRITIC        ,0.07581332325935364
IONOCYTE                 ,LIPOFIBROBLAST           ,0.07576071470975876
IONOCYTE                 ,SEROUS                   ,0.0756818950176239
SMG MUCOUS               ,PLASMACYTOID DENDRITIC   ,0.07565058767795563
LIPOFIBROBLAST           ,POSITIVE                 ,0.07551149278879166
SUBMUCOSAL GLAND         ,ALVEOLAR EPITHELIAL TYPE 1,0.07521549612283707
CILIATED                 ,LIPOFIBROBLAST           ,0.07514810562133789
PLASMA CELLS             ,CLUB                     ,0.07514555752277374
SEROUS                   ,PROLIFERATING MACROPHAGE ,0.07511669397354126
ALVEOLAR EPITHELIAL TYPE 1,SMOOTH MUSCLE            ,0.07511036098003387
ALVEOLAR EPITHELIAL TYPE 1,SUPRABASAL               ,0.07504620403051376
SEROUS                   ,GOBLET (SUBSEGMENTAL)    ,0.0750420019030571
LIPOFIBROBLAST           ,LYMPHOID                 ,0.07500343769788742
MYELOID                  ,ALVEOLAR EPITHELIAL TYPE 1,0.07491735368967056
ALVEOLAR MΦ PROLIFERATING,SMG DUCT                 ,0.07486961781978607
SEROUS                   ,INTERSTITIAL MΦ PERIVASCULAR,0.07470738887786865
SEROUS                   ,CLASSICAL MONOCYTES      ,0.07458845525979996
DEUTEROSOMAL             ,BLOOD VESSELS            ,0.07454836368560791
ALVEOLAR EPITHELIAL TYPE 1,ENDOTHELIAL              ,0.0744914710521698
SEROUS                   ,MULTICILIATED (NASAL)    ,0.074459008872509
POSITIVE                 ,ALVEOLAR EPITHELIAL TYPE 1,0.07444246113300323
PLASMA CELLS             ,CLASSICAL MONOCYTE       ,0.07441169768571854
TREM2+ DENDRITIC         ,LYMPHOID                 ,0.07440203428268433
IGSF21+ DENDRITIC        ,PLASMA CELLS             ,0.07439082115888596
BASOPHIL/MAST 1          ,IONOCYTE                 ,0.07438535243272781
SMG MUCOUS               ,INTERSTITIAL MACROPHAGES ,0.07434368878602982
TREM2+ DENDRITIC         ,MONOCYTES                ,0.07433687150478363
PLASMA CELLS             ,INNATE LYMPHOID CELL NK  ,0.07433339953422546
SMG MUCOUS               ,B                        ,0.07431123405694962
MESOTHELIAL              ,EREG+ DENDRITIC          ,0.07427391409873962
SMG DUCT                 ,TREM2+ DENDRITIC         ,0.0742068886756897
DC1                      ,ALVEOLAR EPITHELIAL TYPE 1,0.07418627291917801
IONOCYTE                 ,ALVEOLAR EPITHELIAL TYPE 1,0.07415498793125153
CILIATED                 ,IONOCYTE                 ,0.07413388043642044
ALVEOLAR EPITHELIAL TYPE 1,INTERSTITIAL MΦ PERIVASCULAR,0.07410524040460587
ALVEOLAR EPITHELIAL TYPE 1,SIGNALING ALVEOLAR EPITHELIAL TYPE 2,0.07406407594680786
ALVEOLAR EPITHELIAL TYPE 1,MESOTHELIUM              ,0.07405322045087814
PROXIMAL CILIATED        ,MESOTHELIAL              ,0.07402510941028595
PLASMA CELLS             ,CD8+ MEMORY/EFFECTOR T   ,0.07390937209129333
SMG SEROUS (BRONCHIAL)   ,ALVEOLAR EPITHELIAL TYPE 1,0.07384778559207916
PLASMA CELLS             ,SMG MUCOUS               ,0.07384224236011505
AT1                      ,LIPOFIBROBLAST           ,0.07383796572685242
TREM2+ DENDRITIC         ,DEUTEROSOMAL             ,0.07366906106472015
ALVEOLAR EPITHELIAL TYPE 1,EC GENERAL CAPILLARY     ,0.07365738600492477
AT2 PROLIFERATING        ,TREM2+ DENDRITIC         ,0.07362833619117737
SEROUS                   ,ARTERY                   ,0.07338306307792664
ALVEOLAR EPITHELIAL TYPE 1,T CELLS PROLIFERATING    ,0.07332810014486313
ALVEOLAR EPITHELIAL TYPE 1,ADVENTITIAL FIBROBLAST   ,0.07332565635442734
ALVEOLAR EPITHELIAL TYPE 1,MYELOID DENDRITIC TYPE 1 ,0.07331718504428864
ALVEOLAR EPITHELIAL TYPE 1,ALVEOLAR EPITHELIUM      ,0.07330647110939026
GOBLET (BRONCHIAL)       ,LIPOFIBROBLAST           ,0.07327787578105927
PLASMA CELLS             ,NONCLASSICAL MONOCYTE    ,0.07319086790084839
PLASMA CELLS             ,MONOCYTE DERIVED MΦ      ,0.0731690302491188
ALVEOLAR EPITHELIAL TYPE 1,EC AEROCYTE CAPILLARY    ,0.07309842854738235
ALVEOLAR EPITHELIAL TYPE 1,CD4 T                    ,0.07282894104719162
PLASMA CELLS             ,CLUB (NASAL)             ,0.07276127487421036
PLASMA CELLS             ,MUCOUS                   ,0.07272730022668839
CILIATED                 ,ARTERY                   ,0.07272583246231079
ALVEOLAR EPITHELIAL TYPE 1,B CELLS                  ,0.07272091507911682
ALVEOLAR EPITHELIAL TYPE 1,B CELL LINEAGE           ,0.07264862209558487
LIPOFIBROBLAST           ,SUBMUCOSAL GLAND         ,0.0726100504398346
LIPOFIBROBLAST           ,BLOOD VESSELS            ,0.07259393483400345
PLASMA CELLS             ,CD4 T                    ,0.0725649818778038
ALVEOLAR EPITHELIAL TYPE 1,MYELOID                  ,0.07247090339660645
POSITIVE                 ,BASOPHIL/MAST            ,0.07245860248804092
SEROUS                   ,SUBMUCOSAL SECRETORY     ,0.07240825891494751
SEROUS                   ,MYELOID DENDRITIC TYPE 2 ,0.07240819185972214
LIPOFIBROBLAST           ,ALVEOLAR MΦ PROLIFERATING,0.0722595751285553
IONOCYTE                 ,IGSF21+ DENDRITIC        ,0.07217288017272949
MESOTHELIAL              ,PLATELET/MEGAKARYOCYTE   ,0.07207302004098892
PLASMA CELLS             ,FIBROMYOCYTE             ,0.07202661782503128
ALVEOLAR EPITHELIAL TYPE 1,PLASMACYTOID DENDRITIC   ,0.07197555154561996
ALVEOLAR EPITHELIAL TYPE 1,NON CLASSICAL MONOCYTES  ,0.07195719331502914
CILIATED                 ,SMG SEROUS (BRONCHIAL)   ,0.07194993644952774
SEROUS                   ,SMG SEROUS (BRONCHIAL)   ,0.0718459039926529
SEROUS                   ,DIFFERENTIATING BASAL    ,0.07182445377111435
ALVEOLAR EPITHELIAL TYPE 1,PERIBRONCHIAL FIBROBLASTS,0.07181376963853836
SMG MUCOUS               ,BASAL RESTING            ,0.0717870369553566
TREM2+ DENDRITIC         ,IMMUNE                   ,0.07175935059785843
ALVEOLAR EPITHELIAL TYPE 1,AT2                      ,0.07174192368984222
LIPOFIBROBLAST           ,IMMUNE                   ,0.07173328101634979
DEUTEROSOMAL             ,IONOCYTE                 ,0.07170424610376358
AIRWAY SMOOTH MUSCLE     ,ALVEOLAR MΦ CCL3+        ,0.07169774919748306
ALVEOLAR EPITHELIAL TYPE 1,ALVEOLAR MΦ PROLIFERATING,0.07167166471481323
MESOTHELIAL              ,IONOCYTE                 ,0.07164788991212845
ALVEOLAR EPITHELIAL TYPE 2,PLATELET/MEGAKARYOCYTE   ,0.071637362241745
ALVEOLAR EPITHELIAL TYPE 1,CD4+ NAIVE T             ,0.07162407040596008
SEROUS                   ,INTERSTITIAL MACROPHAGES ,0.07161018997430801
ALVEOLAR EPITHELIAL TYPE 1,CD4 T CELLS              ,0.0715959221124649
TREM2+ DENDRITIC         ,ARTERY                   ,0.0715012401342392
CILIATED                 ,CD8 T                    ,0.07147839665412903
PLASMA CELLS             ,EC GENERAL CAPILLARY     ,0.07147640734910965
SMG DUCT                 ,POSITIVE                 ,0.07136363536119461
PLASMA CELLS             ,T CELLS PROLIFERATING    ,0.07134068012237549
ALVEOLAR EPITHELIAL TYPE 1,MULTICILIATED LINEAGE    ,0.07133989036083221
LIPOFIBROBLAST           ,DEUTEROSOMAL             ,0.07128745317459106
PROXIMAL CILIATED        ,TREM2+ DENDRITIC         ,0.07114899158477783
PLASMA CELLS             ,LYMPHATIC EC PROLIFERATING,0.07113078236579895
IGSF21+ DENDRITIC        ,AT1                      ,0.07101023197174072
PROLIFERATING BASAL      ,DENDRITIC                ,0.07097325474023819
PROXIMAL CILIATED        ,IGSF21+ DENDRITIC        ,0.0709172934293747
PLASMA CELLS             ,AT2                      ,0.07083036005496979
SEROUS                   ,B                        ,0.07077781111001968
PLASMA CELLS             ,MONOCYTES                ,0.07076878100633621
SEROUS                   ,PROXIMAL CILIATED        ,0.07073956727981567
PROLIFERATING BASAL      ,MACROPHAGES              ,0.07056224346160889
MACROPHAGES              ,DEUTEROSOMAL             ,0.07052040100097656
